dataset,budget_per_class,noise_rate,noise_type,method,seed,label,label_name,clean_support,precision,recall,f1
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,202,6,class_6,200,0.9861111111111112,0.355,0.5220588235294117
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,202,7,class_7,200,0.9528301886792453,0.505,0.6601307189542484
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,202,8,class_8,200,0.9743589743589743,0.95,0.9620253164556962
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,202,9,class_9,200,0.14817749603803487,0.935,0.2558139534883721
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,202,10,class_10,200,0.7575757575757576,0.125,0.2145922746781116
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,202,11,class_11,200,0.9866666666666667,0.74,0.8457142857142858
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,202,12,class_12,200,0.9815950920245399,0.8,0.8815426997245179
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,202,13,class_13,200,0.9807692307692307,0.255,0.40476190476190477
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,303,0,class_0,200,0.2467718794835007,0.86,0.3835005574136009
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,303,1,class_1,200,0.9827586206896551,0.57,0.721518987341772
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,303,2,class_2,200,1.0,0.005,0.009950248756218907
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,303,3,class_3,200,1.0,0.445,0.615916955017301
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,303,4,class_4,200,0.8169934640522876,0.625,0.7082152974504249
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,303,5,class_5,200,1.0,0.145,0.25327510917030566
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,303,6,class_6,200,1.0,0.125,0.2222222222222222
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,303,7,class_7,200,0.17749313815187556,0.97,0.3000773395204949
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,303,8,class_8,200,0.6588628762541806,0.985,0.7895791583166332
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,303,9,class_9,200,0.8133333333333334,0.305,0.4436363636363636
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,303,10,class_10,200,0.8709677419354839,0.27,0.41221374045801523
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,303,11,class_11,200,1.0,0.335,0.50187265917603
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,303,12,class_12,200,0.9891304347826086,0.455,0.6232876712328766
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,303,13,class_13,200,1.0,0.01,0.019801980198019802
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,404,0,class_0,200,1.0,0.01,0.019801980198019802
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,404,1,class_1,200,0.2157721796276013,0.985,0.3539982030548068
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,404,2,class_2,200,0.0,0.0,0.0
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,404,3,class_3,200,1.0,0.19,0.319327731092437
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,404,4,class_4,200,1.0,0.035,0.0676328502415459
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,404,5,class_5,200,1.0,0.04,0.07692307692307693
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,404,6,class_6,200,1.0,0.09,0.16513761467889906
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,404,7,class_7,200,0.5043731778425656,0.865,0.6372007366482505
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,404,8,class_8,200,0.3102362204724409,0.985,0.47185628742514973
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,404,9,class_9,200,0.8888888888888888,0.32,0.47058823529411764
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,404,10,class_10,200,0.7722222222222223,0.695,0.7315789473684211
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,404,11,class_11,200,0.9788732394366197,0.695,0.8128654970760233
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,404,12,class_12,200,0.43908045977011495,0.955,0.6015748031496063
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,404,13,class_13,200,1.0,0.035,0.0676328502415459
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,505,0,class_0,200,0.1647183846971307,0.775,0.2716914986853637
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,505,1,class_1,200,0.9902912621359223,0.51,0.6732673267326733
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,505,2,class_2,200,0.9166666666666666,0.055,0.10377358490566037
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,505,3,class_3,200,1.0,0.225,0.36734693877551017
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,505,4,class_4,200,0.84375,0.54,0.6585365853658537
