dataset,budget_per_class,noise_rate,noise_type,method,seed,n_train,n_test,num_classes,actual_noise_fraction,accuracy,macro_f1,runtime_seconds,train_runtime_seconds,eval_runtime_seconds,epochs,requested_train_batch_size,effective_train_batch_size,requested_eval_batch_size,effective_eval_batch_size,train_batches,eval_batches,peak_memory_allocated_mib,effective_device,mean_train_loss,train_counts,source_kind,method_family,fit_notes
ag_news,16,0.2,symmetric,distilbert_base_uncased,505,64,800,4,0.15625,0.29875,0.1928693174583134,0.5790138244628906,0.1859438419342041,0.28534770011901855,3,32,32,64,64,6,13,1965.29,cuda:0,1.3632068435351055,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.3,symmetric,distilbert_base_uncased,101,64,800,4,0.296875,0.5275,0.514758130080184,0.5928092002868652,0.17972445487976074,0.3097341060638428,3,32,32,64,64,6,13,1946.55,cuda:0,1.3579766750335693,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.3,symmetric,distilbert_base_uncased,202,64,800,4,0.3125,0.26375,0.1325291706086408,0.5925419330596924,0.19356060028076172,0.2931032180786133,3,32,32,64,64,6,13,2106.0,cuda:0,1.3689457178115845,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.3,symmetric,distilbert_base_uncased,303,64,800,4,0.28125,0.51125,0.453618424252481,0.5737917423248291,0.1727285385131836,0.2980368137359619,3,32,32,64,64,6,13,1812.44,cuda:0,1.3652217388153076,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.3,symmetric,distilbert_base_uncased,404,64,800,4,0.3125,0.50625,0.3790003327923396,0.575021505355835,0.17069673538208008,0.300140380859375,3,32,32,64,64,6,13,1976.53,cuda:0,1.350968341032664,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.3,symmetric,distilbert_base_uncased,505,64,800,4,0.265625,0.4825,0.42311201531964204,0.5897583961486816,0.18944764137268066,0.2968313694000244,3,32,32,64,64,6,13,1966.11,cuda:0,1.3623687823613484,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,64,0.0,symmetric,distilbert_base_uncased,101,256,800,4,0.0,0.8325,0.8305999048716135,1.1740443706512451,0.7496049404144287,0.31846094131469727,3,32,32,64,64,24,13,2112.0,cuda:0,1.1545024986068408,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,64,0.0,symmetric,distilbert_base_uncased,202,256,800,4,0.0,0.8025,0.8013907877781496,1.1436376571655273,0.7321717739105225,0.3033254146575928,3,32,32,64,64,24,13,2111.75,cuda:0,1.2197096273303032,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,64,0.0,symmetric,distilbert_base_uncased,303,256,800,4,0.0,0.865,0.8642812504660524,1.125490427017212,0.7196886539459229,0.296738862991333,3,32,32,64,64,24,13,2090.48,cuda:0,1.1562065208951633,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,64,0.0,symmetric,distilbert_base_uncased,404,256,800,4,0.0,0.87625,0.8752662701582758,1.131748914718628,0.724700927734375,0.2983102798461914,3,32,32,64,64,24,13,2109.06,cuda:0,1.1462656110525131,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
