dataset,budget_per_class,noise_rate,noise_type,method,seed,status,old_accuracy,new_accuracy,delta_accuracy,old_macro_f1,new_macro_f1,delta_macro_f1
trec_qc,16,0.0,symmetric,linear_svm_hinge,101,compared,0.412,0.412,0.0,0.4275038388474184,0.4275038388474184,0.0
trec_qc,16,0.0,symmetric,linear_svm_hinge,202,compared,0.382,0.382,0.0,0.37809980847006797,0.37809980847006797,0.0
trec_qc,16,0.0,symmetric,linear_svm_hinge,303,compared,0.492,0.492,0.0,0.4537022105359841,0.4537022105359841,0.0
trec_qc,16,0.0,symmetric,linear_svm_hinge,404,compared,0.6,0.6,0.0,0.5274172100026713,0.5274172100026713,0.0
trec_qc,16,0.0,symmetric,linear_svm_hinge,505,compared,0.366,0.366,0.0,0.35902812696584707,0.35902812696584707,0.0
trec_qc,32,0.0,class_conditional,linear_svm_hinge,101,new_clean_key_not_in_old,,0.426,,,0.455904037141813,
trec_qc,32,0.0,class_conditional,linear_svm_hinge,202,new_clean_key_not_in_old,,0.434,,,0.4135398567293052,
trec_qc,32,0.0,class_conditional,linear_svm_hinge,303,new_clean_key_not_in_old,,0.4,,,0.42489441746218914,
trec_qc,32,0.0,class_conditional,linear_svm_hinge,404,new_clean_key_not_in_old,,0.402,,,0.4271538717601338,
trec_qc,32,0.0,class_conditional,linear_svm_hinge,505,new_clean_key_not_in_old,,0.49,,,0.485689042599458,
trec_qc,32,0.0,symmetric,linear_svm_hinge,101,new_clean_key_not_in_old,,0.426,,,0.455904037141813,
trec_qc,32,0.0,symmetric,linear_svm_hinge,202,new_clean_key_not_in_old,,0.434,,,0.4135398567293052,
trec_qc,32,0.0,symmetric,linear_svm_hinge,303,new_clean_key_not_in_old,,0.4,,,0.42489441746218914,
trec_qc,32,0.0,symmetric,linear_svm_hinge,404,new_clean_key_not_in_old,,0.402,,,0.4271538717601338,
trec_qc,32,0.0,symmetric,linear_svm_hinge,505,new_clean_key_not_in_old,,0.49,,,0.485689042599458,
trec_qc,64,0.0,class_conditional,linear_svm_hinge,101,compared,0.492,0.492,0.0,0.5178662825844454,0.5178662825844454,0.0
trec_qc,64,0.0,class_conditional,linear_svm_hinge,202,compared,0.4,0.4,0.0,0.39839153254752807,0.39839153254752807,0.0
trec_qc,64,0.0,class_conditional,linear_svm_hinge,303,compared,0.512,0.512,0.0,0.520608866816739,0.520608866816739,0.0
trec_qc,64,0.0,class_conditional,linear_svm_hinge,404,compared,0.486,0.486,0.0,0.4905960009607062,0.4905960009607062,0.0
trec_qc,64,0.0,class_conditional,linear_svm_hinge,505,compared,0.482,0.482,0.0,0.49416024187933133,0.49416024187933133,0.0
trec_qc,64,0.0,symmetric,linear_svm_hinge,101,compared,0.492,0.492,0.0,0.5178662825844454,0.5178662825844454,0.0
trec_qc,64,0.0,symmetric,linear_svm_hinge,202,compared,0.4,0.4,0.0,0.39839153254752807,0.39839153254752807,0.0
trec_qc,64,0.0,symmetric,linear_svm_hinge,303,compared,0.512,0.512,0.0,0.520608866816739,0.520608866816739,0.0
trec_qc,64,0.0,symmetric,linear_svm_hinge,404,compared,0.486,0.486,0.0,0.4905960009607062,0.4905960009607062,0.0
trec_qc,64,0.0,symmetric,linear_svm_hinge,505,compared,0.482,0.482,0.0,0.49416024187933133,0.49416024187933133,0.0
trec_qc,128,0.0,class_conditional,linear_svm_hinge,101,compared,0.532,0.532,0.0,0.49795656843820785,0.49795656843820785,0.0
trec_qc,128,0.0,class_conditional,linear_svm_hinge,202,compared,0.574,0.574,0.0,0.5786227755372663,0.5786227755372663,0.0
trec_qc,128,0.0,class_conditional,linear_svm_hinge,303,compared,0.494,0.494,0.0,0.454066024041515,0.454066024041515,0.0
trec_qc,128,0.0,class_conditional,linear_svm_hinge,404,compared,0.702,0.702,0.0,0.6171986272405234,0.6171986272405234,0.0
trec_qc,128,0.0,class_conditional,linear_svm_hinge,505,compared,0.506,0.506,0.0,0.500567965080671,0.500567965080671,0.0
trec_qc,128,0.0,symmetric,linear_svm_hinge,101,compared,0.532,0.532,0.0,0.49795656843820785,0.49795656843820785,0.0
trec_qc,128,0.0,symmetric,linear_svm_hinge,202,compared,0.574,0.574,0.0,0.5786227755372663,0.5786227755372663,0.0
trec_qc,128,0.0,symmetric,linear_svm_hinge,303,compared,0.494,0.494,0.0,0.454066024041515,0.454066024041515,0.0
trec_qc,128,0.0,symmetric,linear_svm_hinge,404,compared,0.702,0.702,0.0,0.6171986272405234,0.6171986272405234,0.0
trec_qc,128,0.0,symmetric,linear_svm_hinge,505,compared,0.506,0.506,0.0,0.500567965080671,0.500567965080671,0.0
