dataset,budget_per_class,noise_rate,noise_type,method,seed,label,label_name,clean_support,precision,recall,f1
ag_news,8,0.05,class_conditional,linear_svm_hinge,202,0,World,200,0.3987915407854985,0.66,0.497175141242938
ag_news,8,0.05,class_conditional,linear_svm_hinge,202,1,Sports,200,0.5662650602409639,0.47,0.5136612021857923
ag_news,8,0.05,class_conditional,linear_svm_hinge,202,2,Business,200,0.6164383561643836,0.225,0.32967032967032966
ag_news,8,0.05,class_conditional,linear_svm_hinge,202,3,Sci/Tech,200,0.44782608695652176,0.515,0.47906976744186053
ag_news,8,0.05,class_conditional,linear_svm_hinge,303,0,World,200,0.6296296296296297,0.34,0.4415584415584416
ag_news,8,0.05,class_conditional,linear_svm_hinge,303,1,Sports,200,0.5506072874493927,0.68,0.6085011185682326
ag_news,8,0.05,class_conditional,linear_svm_hinge,303,2,Business,200,0.6363636363636364,0.105,0.18025751072961374
ag_news,8,0.05,class_conditional,linear_svm_hinge,303,3,Sci/Tech,200,0.3446601941747573,0.71,0.46405228758169936
ag_news,8,0.05,class_conditional,linear_svm_hinge,404,0,World,200,0.5789473684210527,0.605,0.5916870415647921
ag_news,8,0.05,class_conditional,linear_svm_hinge,404,1,Sports,200,0.5694444444444444,0.41,0.47674418604651164
ag_news,8,0.05,class_conditional,linear_svm_hinge,404,2,Business,200,0.43568464730290457,0.525,0.4761904761904762
ag_news,8,0.05,class_conditional,linear_svm_hinge,404,3,Sci/Tech,200,0.5097087378640777,0.525,0.5172413793103449
ag_news,8,0.05,class_conditional,linear_svm_hinge,505,0,World,200,0.3963254593175853,0.755,0.5197934595524958
ag_news,8,0.05,class_conditional,linear_svm_hinge,505,1,Sports,200,0.40239043824701193,0.505,0.44789356984478934
ag_news,8,0.05,class_conditional,linear_svm_hinge,505,2,Business,200,0.5522388059701493,0.37,0.4431137724550898
ag_news,8,0.05,class_conditional,linear_svm_hinge,505,3,Sci/Tech,200,0.6176470588235294,0.105,0.1794871794871795
ag_news,8,0.05,class_conditional,multinomial_nb,101,0,0,200,0.4140625,0.265,0.3231707317073171
ag_news,8,0.05,class_conditional,multinomial_nb,101,1,1,200,0.5393258426966292,0.48,0.5079365079365079
ag_news,8,0.05,class_conditional,multinomial_nb,101,2,2,200,0.4708029197080292,0.645,0.5443037974683543
ag_news,8,0.05,class_conditional,multinomial_nb,101,3,3,200,0.4090909090909091,0.45,0.4285714285714286
ag_news,8,0.05,class_conditional,multinomial_nb,202,0,0,200,0.47368421052631576,0.63,0.5407725321888411
ag_news,8,0.05,class_conditional,multinomial_nb,202,1,1,200,0.5138339920948617,0.65,0.5739514348785872
ag_news,8,0.05,class_conditional,multinomial_nb,202,2,2,200,0.5688073394495413,0.31,0.4012944983818771
ag_news,8,0.05,class_conditional,multinomial_nb,202,3,3,200,0.5174418604651163,0.445,0.478494623655914
ag_news,8,0.05,class_conditional,multinomial_nb,303,0,0,200,0.6114649681528662,0.48,0.5378151260504203
ag_news,8,0.05,class_conditional,multinomial_nb,303,1,1,200,0.6702127659574468,0.63,0.6494845360824743
ag_news,8,0.05,class_conditional,multinomial_nb,303,2,2,200,0.5084745762711864,0.3,0.3773584905660377
ag_news,8,0.05,class_conditional,multinomial_nb,303,3,3,200,0.3857566765578635,0.65,0.4841713221601489
ag_news,8,0.05,class_conditional,multinomial_nb,404,0,0,200,0.6466666666666666,0.485,0.5542857142857143
ag_news,8,0.05,class_conditional,multinomial_nb,404,1,1,200,0.4956896551724138,0.575,0.5324074074074073
ag_news,8,0.05,class_conditional,multinomial_nb,404,2,2,200,0.46919431279620855,0.495,0.48175182481751827
ag_news,8,0.05,class_conditional,multinomial_nb,404,3,3,200,0.5314009661835749,0.55,0.5405405405405406
ag_news,8,0.05,class_conditional,multinomial_nb,505,0,0,200,0.4635036496350365,0.635,0.5358649789029536
ag_news,8,0.05,class_conditional,multinomial_nb,505,1,1,200,0.4861111111111111,0.525,0.5048076923076923
ag_news,8,0.05,class_conditional,multinomial_nb,505,2,2,200,0.5657142857142857,0.495,0.5279999999999999
ag_news,8,0.05,class_conditional,multinomial_nb,505,3,3,200,0.5481481481481482,0.37,0.4417910447761194
ag_news,8,0.05,class_conditional,softmax_logreg,101,0,0,200,0.39805825242718446,0.205,0.27062706270627057
ag_news,8,0.05,class_conditional,softmax_logreg,101,1,1,200,0.4852941176470588,0.495,0.4900990099009901
ag_news,8,0.05,class_conditional,softmax_logreg,101,2,2,200,0.47391304347826085,0.545,0.5069767441860464
ag_news,8,0.05,class_conditional,softmax_logreg,101,3,3,200,0.35361216730038025,0.465,0.40172786177105835
