dataset,budget_per_class,noise_rate,noise_type,method,n_cells,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1
ag_news,128,0.0,class_conditional,trimmed_softmax_logreg,5,0.69675,0.016837458240482744,0.6857541208567198,0.02498071957048495
ag_news,128,0.0,symmetric,linear_svm_hinge,5,0.747,0.016632047378479904,0.7417368401898861,0.01920464830102424
ag_news,128,0.0,symmetric,multinomial_nb,5,0.799,0.011219402836158417,0.7976305657540543,0.011691413895946443
ag_news,128,0.0,symmetric,softmax_logreg,5,0.77825,0.011390785749894543,0.7751598994763756,0.012418618559498154
ag_news,128,0.0,symmetric,trimmed_softmax_logreg,5,0.69675,0.016837458240482744,0.6857541208567198,0.02498071957048495
ag_news,128,0.05,class_conditional,linear_svm_hinge,5,0.6925,0.05327405559932528,0.6746312056087274,0.057617672101572016
ag_news,128,0.05,class_conditional,multinomial_nb,5,0.78925,0.016874537030686216,0.787727497603842,0.01752594723752069
ag_news,128,0.05,class_conditional,softmax_logreg,5,0.77,0.015652475842498556,0.7665772182156091,0.017020380347984296
ag_news,128,0.05,class_conditional,trimmed_softmax_logreg,5,0.6695,0.051615162500955075,0.6421669331698242,0.05545825538764326
ag_news,128,0.05,symmetric,linear_svm_hinge,5,0.703,0.0662457545809541,0.6906111371401862,0.07592256807343602
ag_news,128,0.05,symmetric,multinomial_nb,5,0.7885,0.008602325267042606,0.7869268771233037,0.008851698889058963
ag_news,128,0.05,symmetric,softmax_logreg,5,0.7665000000000001,0.013793114224133703,0.7626882522067981,0.015262710499694805
ag_news,128,0.05,symmetric,trimmed_softmax_logreg,5,0.6657500000000001,0.039454087240740995,0.6471414016776511,0.048511582557936306
ag_news,128,0.1,class_conditional,linear_svm_hinge,5,0.7182499999999999,0.051195702944680795,0.7084538923492273,0.06246438279815143
ag_news,128,0.1,class_conditional,multinomial_nb,5,0.7809999999999999,0.015358222553407677,0.779162844603442,0.016305589105704697
ag_news,128,0.1,class_conditional,softmax_logreg,5,0.7469999999999999,0.02476893215300166,0.7422691920842137,0.0272566516499727
ag_news,128,0.1,class_conditional,trimmed_softmax_logreg,5,0.5875,0.04159326868617086,0.5448202497253518,0.059074594040898674
ag_news,128,0.1,symmetric,linear_svm_hinge,5,0.68775,0.045314181003301826,0.681265149969131,0.041389028051860836
ag_news,128,0.1,symmetric,multinomial_nb,5,0.78125,0.008909264840602714,0.7796282317391382,0.009974689641729453
ag_news,128,0.1,symmetric,softmax_logreg,5,0.75275,0.014106735979665885,0.7488898846825623,0.015597896646347304
ag_news,128,0.1,symmetric,trimmed_softmax_logreg,5,0.64025,0.05493973971543732,0.5956339023957037,0.07927239060916424
ag_news,128,0.2,class_conditional,linear_svm_hinge,5,0.6485,0.0481170447970363,0.6263353628788075,0.06338225139698953
ag_news,128,0.2,class_conditional,multinomial_nb,5,0.72975,0.01916050625635971,0.72710234176166,0.01996192115249378
ag_news,128,0.2,class_conditional,softmax_logreg,5,0.7057499999999999,0.025019992006393616,0.6971153762961697,0.028960933274963217
ag_news,128,0.2,class_conditional,trimmed_softmax_logreg,5,0.5780000000000001,0.05222906279074898,0.5095749023337819,0.07492990843038143
ag_news,128,0.2,symmetric,linear_svm_hinge,5,0.64775,0.04792181131802092,0.6227431892734427,0.07335368246245363
ag_news,128,0.2,symmetric,multinomial_nb,5,0.7445,0.023138171924333185,0.7428518518504967,0.023388640366669745
ag_news,128,0.2,symmetric,softmax_logreg,5,0.714,0.023283577903750116,0.7055432308083922,0.027775987416730142
ag_news,128,0.2,symmetric,trimmed_softmax_logreg,5,0.5645,0.0367474488910455,0.5007392817061784,0.04501250344584297
ag_news,128,0.3,class_conditional,linear_svm_hinge,5,0.58025,0.0560992424191272,0.5663450001741387,0.07458032906525854
ag_news,128,0.3,class_conditional,multinomial_nb,5,0.6635,0.027504545078950126,0.6595920254813641,0.029044504401593424
ag_news,128,0.3,class_conditional,softmax_logreg,5,0.6305,0.03637134861398458,0.6207262896464918,0.04065878898693413
ag_news,128,0.3,class_conditional,trimmed_softmax_logreg,5,0.476,0.045341757795656745,0.38924838135107875,0.06192530790219677
