dataset,budget_per_class,noise_rate,noise_type,method,delta_accuracy_vs_clean,delta_macro_f1_vs_clean,macro_f1_slope_per_noise_rate
dbpedia_14,64,0.2,class_conditional,softmax_logreg,-0.08850000000000002,-0.09682435919049193,-0.48412179595245963
dbpedia_14,64,0.2,class_conditional,trimmed_softmax_logreg,-0.09078571428571436,-0.09777397740253813,-0.48886988701269063
dbpedia_14,64,0.2,symmetric,linear_svm_hinge,-0.026357142857142857,-0.029610711005387258,-0.1480535550269363
dbpedia_14,64,0.2,symmetric,multinomial_nb,-0.03235714285714286,-0.03319385618726256,-0.1659692809363128
dbpedia_14,64,0.2,symmetric,softmax_logreg,-0.07828571428571429,-0.08338584446016062,-0.4169292223008031
dbpedia_14,64,0.2,symmetric,trimmed_softmax_logreg,-0.05521428571428566,-0.04809795522808513,-0.24048977614042566
dbpedia_14,64,0.3,class_conditional,linear_svm_hinge,-0.06457142857142861,-0.06790454135649848,-0.2263484711883283
dbpedia_14,64,0.3,class_conditional,multinomial_nb,-0.14214285714285702,-0.14798805403700044,-0.49329351345666816
dbpedia_14,64,0.3,class_conditional,softmax_logreg,-0.16707142857142854,-0.18985210060249724,-0.6328403353416575
dbpedia_14,64,0.3,class_conditional,trimmed_softmax_logreg,-0.13235714285714284,-0.14784168451186463,-0.4928056150395488
dbpedia_14,64,0.3,symmetric,linear_svm_hinge,-0.1090000000000001,-0.1278567434212361,-0.4261891447374537
dbpedia_14,64,0.3,symmetric,multinomial_nb,-0.05185714285714271,-0.05319707570172483,-0.1773235856724161
dbpedia_14,64,0.3,symmetric,softmax_logreg,-0.10278571428571426,-0.10207748609128209,-0.3402582869709403
dbpedia_14,64,0.3,symmetric,trimmed_softmax_logreg,-0.08864285714285713,-0.09018098089669002,-0.30060326965563344
dbpedia_14,128,0.05,class_conditional,linear_svm_hinge,-0.011142857142857232,-0.012440513162768174,-0.24881026325536348
dbpedia_14,128,0.05,class_conditional,multinomial_nb,-0.008071428571428396,-0.008228688676383489,-0.16457377352766978
dbpedia_14,128,0.05,class_conditional,softmax_logreg,-0.009999999999999787,-0.011018268611695525,-0.2203653722339105
dbpedia_14,128,0.05,class_conditional,trimmed_softmax_logreg,0.004571428571428671,0.015177126822587095,0.3035425364517419
dbpedia_14,128,0.05,symmetric,linear_svm_hinge,-0.008642857142857174,-0.009008503122170386,-0.18017006244340772
dbpedia_14,128,0.05,symmetric,multinomial_nb,-0.006857142857142784,-0.006941067528866363,-0.13882135057732725
dbpedia_14,128,0.05,symmetric,softmax_logreg,-0.009071428571428397,-0.009016513033969553,-0.18033026067939106
dbpedia_14,128,0.05,symmetric,trimmed_softmax_logreg,0.02735714285714297,0.04366003715292588,0.8732007430585176
dbpedia_14,128,0.1,class_conditional,linear_svm_hinge,-0.026357142857142746,-0.031430825899667836,-0.31430825899667836
dbpedia_14,128,0.1,class_conditional,multinomial_nb,-0.018214285714285627,-0.01860263483808633,-0.1860263483808633
dbpedia_14,128,0.1,class_conditional,softmax_logreg,-0.03414285714285703,-0.036719711962802104,-0.36719711962802104
dbpedia_14,128,0.1,class_conditional,trimmed_softmax_logreg,-0.019499999999999962,-0.018149730823755483,-0.18149730823755483
dbpedia_14,128,0.1,symmetric,linear_svm_hinge,-0.010142857142857009,-0.011180541407201594,-0.11180541407201594
dbpedia_14,128,0.1,symmetric,multinomial_nb,-0.00835714285714284,-0.008515724738402675,-0.08515724738402675
dbpedia_14,128,0.1,symmetric,softmax_logreg,-0.01378571428571429,-0.013431372465159463,-0.13431372465159463
