dataset,budget_per_class,noise_rate,noise_type,method,seed,n_train,n_test,num_classes,actual_noise_fraction,accuracy,macro_f1,runtime_seconds,train_counts,source_kind,method_family,fit_notes
ag_news,8,0.05,symmetric,softmax_logreg,404,32,800,4,0.03125,0.52375,0.5200665224602536,0.03386378288269043,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.05,symmetric,softmax_logreg,505,32,800,4,0.0625,0.4475,0.4219150793512646,0.035719871520996094,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.05,symmetric,trimmed_softmax_logreg,101,32,800,4,0.0625,0.35125,0.288177447718144,0.04120135307312012,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125
ag_news,8,0.05,symmetric,trimmed_softmax_logreg,202,32,800,4,0.0625,0.34625,0.2650725997560585,0.03687477111816406,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125
ag_news,8,0.05,symmetric,trimmed_softmax_logreg,303,32,800,4,0.09375,0.3275,0.25134940291198044,0.03530716896057129,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125
ag_news,8,0.05,symmetric,trimmed_softmax_logreg,404,32,800,4,0.03125,0.465,0.4072250344828323,0.03484845161437988,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125
ag_news,8,0.05,symmetric,trimmed_softmax_logreg,505,32,800,4,0.0625,0.41875,0.3574693974017078,0.04386782646179199,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8438
ag_news,8,0.1,class_conditional,linear_svm_hinge,101,32,800,4,0.09375,0.4325,0.3843272628942604,0.04025888442993164,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.1,class_conditional,linear_svm_hinge,202,32,800,4,0.09375,0.46375,0.4517423169134709,0.03992652893066406,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.1,class_conditional,linear_svm_hinge,303,32,800,4,0.0625,0.45125,0.43065781909360723,0.035364389419555664,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.1,class_conditional,linear_svm_hinge,404,32,800,4,0.125,0.49,0.4915460296981747,0.03826308250427246,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
