dataset,budget_per_class,noise_rate,noise_type,method,mean_macro_f1,delta_macro_f1_vs_clean
dbpedia_14,16,0.0,symmetric,softmax_logreg,0.838229,0.000000
dbpedia_14,16,0.0,symmetric,trimmed_softmax_logreg,0.604794,0.000000
dbpedia_14,16,0.05,class_conditional,linear_svm_hinge,0.664737,-0.050128
dbpedia_14,16,0.05,class_conditional,multinomial_nb,0.805928,-0.024475
dbpedia_14,16,0.05,class_conditional,softmax_logreg,0.786191,-0.052038
dbpedia_14,16,0.05,class_conditional,trimmed_softmax_logreg,0.588297,-0.016497
dbpedia_14,16,0.05,symmetric,linear_svm_hinge,0.706892,-0.007973
dbpedia_14,16,0.05,symmetric,multinomial_nb,0.809799,-0.020605
dbpedia_14,16,0.05,symmetric,softmax_logreg,0.772541,-0.065687
dbpedia_14,16,0.05,symmetric,trimmed_softmax_logreg,0.605974,0.001180
dbpedia_14,16,0.1,class_conditional,linear_svm_hinge,0.682957,-0.031908
dbpedia_14,16,0.1,class_conditional,multinomial_nb,0.774845,-0.055558
dbpedia_14,16,0.1,class_conditional,softmax_logreg,0.746697,-0.091531
dbpedia_14,16,0.1,class_conditional,trimmed_softmax_logreg,0.593613,-0.011180
dbpedia_14,16,0.1,symmetric,linear_svm_hinge,0.648850,-0.066015
dbpedia_14,16,0.1,symmetric,multinomial_nb,0.795144,-0.035259
dbpedia_14,16,0.1,symmetric,softmax_logreg,0.755054,-0.083174
dbpedia_14,16,0.1,symmetric,trimmed_softmax_logreg,0.556512,-0.048282
dbpedia_14,16,0.2,class_conditional,linear_svm_hinge,0.628837,-0.086029
dbpedia_14,16,0.2,class_conditional,multinomial_nb,0.691144,-0.139260
dbpedia_14,16,0.2,class_conditional,softmax_logreg,0.638293,-0.199935
dbpedia_14,16,0.2,class_conditional,trimmed_softmax_logreg,0.477220,-0.127573
dbpedia_14,16,0.2,symmetric,linear_svm_hinge,0.633062,-0.081803
dbpedia_14,16,0.2,symmetric,multinomial_nb,0.739485,-0.090919
dbpedia_14,16,0.2,symmetric,softmax_logreg,0.661629,-0.176599
dbpedia_14,16,0.2,symmetric,trimmed_softmax_logreg,0.504616,-0.100178
dbpedia_14,16,0.3,class_conditional,linear_svm_hinge,0.545456,-0.169409
dbpedia_14,16,0.3,class_conditional,multinomial_nb,0.602874,-0.227530
dbpedia_14,16,0.3,class_conditional,softmax_logreg,0.514905,-0.323324
dbpedia_14,16,0.3,class_conditional,trimmed_softmax_logreg,0.406725,-0.198069
dbpedia_14,16,0.3,symmetric,linear_svm_hinge,0.552593,-0.162272
dbpedia_14,16,0.3,symmetric,multinomial_nb,0.660210,-0.170194
dbpedia_14,16,0.3,symmetric,softmax_logreg,0.522626,-0.315603
dbpedia_14,16,0.3,symmetric,trimmed_softmax_logreg,0.446664,-0.158130
dbpedia_14,32,0.0,class_conditional,linear_svm_hinge,0.763089,0.000000
